   57																																																									
GPSA1    	0.12184	0.10573	0.11532	0.10504	0.09506	0.09573	0.18756	0.20248	0.20712	0.11637	0.11893	0.12451	0.00000	0.01271	0.07878	0.10574	0.10865	0.10562	0.31929	1.33335	1.32048	0.11550	0.11586	0.11407	0.14903	0.15281	0.14265	0.17929	0.20322	0.18565	0.09477	0.09428	0.12776	0.10160	0.10004	0.18644	0.18599	0.17733	0.11876	0.12139	0.11640	0.11509	0.09551	0.13833	0.08940	0.09762	0.09638	0.18268	0.12412	0.18281	0.10984	0.11686	0.19485	0.16650	0.19815	0.16567	0.14807
GPSA2    	0.11279	0.10004	0.10522	0.09259	0.08431	0.08349	0.17583	0.19114	0.19212	0.10504	0.11257	0.11232	0.01271	0.00000	0.06346	0.09410	0.10039	0.09455	0.31351	1.32947	1.31560	0.10000	0.10197	0.10115	0.13864	0.14193	0.13069	0.16877	0.19078	0.17077	0.08171	0.08264	0.12114	0.08964	0.08924	0.17241	0.17179	0.16501	0.11301	0.11142	0.10579	0.10483	0.08492	0.12695	0.08024	0.08332	0.08985	0.17153	0.11299	0.16928	0.09934	0.11052	0.18327	0.15688	0.18772	0.15209	0.13774
GPSA3    	0.12366	0.11316	0.11877	0.09402	0.09131	0.08747	0.18881	0.20595	0.20517	0.11427	0.12189	0.12295	0.07878	0.06346	0.00000	0.10505	0.10883	0.10862	0.32151	1.33649	1.32557	0.09545	0.09571	0.09324	0.14811	0.15276	0.14380	0.18138	0.20444	0.18084	0.08635	0.08713	0.13196	0.09472	0.08726	0.18385	0.18363	0.17756	0.12270	0.12179	0.11518	0.10249	0.09237	0.13537	0.08448	0.08282	0.09759	0.18195	0.12003	0.17865	0.10409	0.10857	0.19409	0.17099	0.19859	0.15875	0.14505
HBSA1    	0.13157	0.12529	0.12604	0.12307	0.11472	0.11479	0.18268	0.19982	0.20658	0.04232	0.04937	0.04883	0.10574	0.09410	0.10505	0.00000	0.00283	0.00806	0.31935	1.34257	1.32866	0.12542	0.12847	0.12657	0.16539	0.16092	0.15500	0.18120	0.20181	0.17917	0.11231	0.11269	0.14466	0.11921	0.11352	0.17338	0.17183	0.16640	0.04981	0.04713	0.04399	0.12884	0.10583	0.14800	0.10681	0.10553	0.12522	0.16772	0.11778	0.16754	0.12286	0.13111	0.19260	0.17026	0.19942	0.17620	0.14893
HBSA2    	0.13515	0.12994	0.13106	0.12860	0.11895	0.12013	0.18908	0.20323	0.21114	0.04462	0.05083	0.05121	0.10865	0.10039	0.10883	0.00283	0.00000	0.01079	0.31975	1.33795	1.32988	0.13203	0.13227	0.13008	0.16882	0.16136	0.15736	0.18532	0.20636	0.18521	0.11573	0.11629	0.14883	0.12546	0.11930	0.17647	0.17685	0.16973	0.05173	0.04725	0.04669	0.13424	0.10949	0.15307	0.11236	0.11308	0.12907	0.17294	0.12446	0.17377	0.12683	0.13075	0.19840	0.17488	0.20593	0.17974	0.15177
HBSA3    	0.13259	0.12585	0.12596	0.12411	0.11711	0.11770	0.18353	0.19624	0.20293	0.04623	0.05234	0.05296	0.10562	0.09455	0.10862	0.00806	0.01079	0.00000	0.32117	1.34477	1.33321	0.12476	0.12736	0.12531	0.16526	0.15839	0.15250	0.17971	0.19868	0.17867	0.11230	0.11114	0.14251	0.11833	0.11171	0.16978	0.16904	0.16367	0.05216	0.05024	0.04602	0.12876	0.10087	0.14671	0.10610	0.10528	0.12408	0.16713	0.11687	0.16673	0.12159	0.12891	0.18899	0.16715	0.19512	0.17246	0.14518
HKSA1    	0.29691	0.30420	0.29534	0.30229	0.29934	0.29682	0.28929	0.30372	0.29829	0.31433	0.32016	0.30829	0.31929	0.31351	0.32151	0.31935	0.31975	0.32117	0.00000	0.28688	0.27785	0.31587	0.31559	0.31846	0.31607	0.32127	0.31103	0.25902	0.23531	0.26538	0.30284	0.30067	0.31946	0.30354	0.30680	0.31350	0.30978	0.30951	0.31835	0.31493	0.31031	0.31467	0.30127	0.32908	0.30809	0.30769	0.31234	0.30852	0.28459	0.31171	0.27188	0.28567	0.28941	0.28259	0.28796	0.32400	0.30231
HKSA2    	1.32349	1.32788	1.29888	1.34168	1.33606	1.34485	1.32716	1.33443	1.31557	1.32493	1.32066	1.32422	1.33335	1.32947	1.33649	1.34257	1.33795	1.34477	0.28688	0.00000	0.06533	1.31835	1.32251	1.32727	1.32752	1.32384	1.32842	1.30133	1.29245	1.29281	1.35087	1.32774	1.34124	1.34642	1.34350	1.34537	1.33731	1.35200	1.32886	1.33402	1.33225	1.32303	1.37116	1.34597	1.34568	1.34108	1.33192	1.34960	1.40293	1.34928	1.29469	1.33297	1.31486	1.31385	1.33865	1.32806	1.31988
HKSA3    	1.30129	1.30830	1.29017	1.32751	1.32939	1.33271	1.31873	1.32567	1.30759	1.31536	1.31003	1.31508	1.32048	1.31560	1.32557	1.32866	1.32988	1.33321	0.27785	0.06533	0.00000	1.31265	1.31533	1.32136	1.30494	1.31879	1.31326	1.28564	1.28325	1.28406	1.33471	1.32445	1.33690	1.33978	1.32536	1.32281	1.31588	1.32718	1.31756	1.32116	1.31662	1.31994	1.34666	1.33962	1.34413	1.33206	1.31644	1.33188	1.38697	1.33521	1.25981	1.29546	1.29190	1.30063	1.32676	1.32079	1.30603
KBSA1    	0.11904	0.11658	0.11576	0.09274	0.08763	0.09495	0.17744	0.19578	0.19767	0.12867	0.13638	0.13814	0.11550	0.10000	0.09545	0.12542	0.13203	0.12476	0.31587	1.31835	1.31265	0.00000	0.00180	0.00315	0.15132	0.14810	0.14213	0.17223	0.18880	0.17406	0.08970	0.08747	0.13930	0.08441	0.08534	0.19085	0.18907	0.18029	0.13842	0.13599	0.12840	0.04698	0.09057	0.13408	0.08512	0.08421	0.10034	0.18236	0.11654	0.17946	0.10958	0.10737	0.18797	0.16564	0.19569	0.16192	0.14062
